Node_for_60_to_70_age_eyes,Act_for_60_to_70_age_eyes,Frequency_for_60_to_70_age_eyes,36_output_weights,output_60_to_70_age_eyes_compScore,Node_for_60_to_70_age_mouth,Act_for_60_to_70_age_mouth,Frequency_for_60_to_70_age_mouth,73_output_weights,output_60_to_70_age_mouth_compScore,Node_for_60_to_70_age_forehead,Act_for_60_to_70_age_forehead,Frequency_for_60_to_70_age_forehead,33_output_weights,output_60_to_70_age_forehead_compScore,Node_for_60_to_70_age_nose,Act_for_60_to_70_age_nose,Frequency_for_60_to_70_age_nose,35_output_weights,output_60_to_70_age_nose_compScore
8.0,7.397918090820313,1.0,0.1651852,1.0,6.0,1.6114789197319432,0.6308724832214765,0.37618577,1.0,6.0,2.334818147598429,0.3087248322147651,0.37618577,1.0,6,5.754102191925049,1.0,0.37618577,1.0
6.0,2.2749023242074937,0.40268456375838924,0.37618577,0.9470764403734415,8.0,2.0754488990420388,0.1342281879194631,0.1651852,0.8386743352646665,8.0,4.395826160113017,1.0,0.1651852,0.9694118893297501,1,7.230573088328043,1.0,0.21189669,0.83255756697234
1.0,1.5650881429513295,0.0738255033557047,0.21189669,0.871334380501872,7.0,4.567074669202169,1.0,-0.12699442,0.2734284539248491,1.0,2.2509703636169434,0.0,0.21189669,0.9193389605249858,8,4.7372966628746696,0.9932885906040269,0.1651852,0.6341070102716276
7.0,5.1000700298945105,1.0,-0.12699442,0.7298182547208937,3.0,1.9623410531452723,0.22818791946308725,-0.44829017,0.08985424570551329,7.0,7.891627079645793,1.0,-0.12699442,0.6220662638655876,5,1.0082367658615112,0.0,0.36600673,0.5246340783256429
4.0,3.2117888192335764,0.3959731543624161,-0.44174987,0.618386678188793,4.0,2.323475956916809,0.03355704697986577,-0.44174987,0.0,3.0,3.9021843558266047,0.9798657718120806,-0.44829017,0.4719155024312258,7,7.000582861900329,1.0,-0.12699442,0.19157521354450116
3.0,12.710865440368652,1.0,-0.44829017,0.0,,,,,,4.0,9.275525433222453,1.0,-0.44174987,0.0,3,2.41162061996949,0.5167785234899329,-0.44829017,0.1407262200852216
,,,,,,,,,,,,,,,4,3.650636219478154,0.9530201342281879,-0.44174987,0.0
