Node_for_70_to_80_age_eyes,Act_for_70_to_80_age_eyes,Frequency_for_70_to_80_age_eyes,40_output_weights,output_70_to_80_age_eyes_compScore,Node_for_70_to_80_age_mouth,Act_for_70_to_80_age_mouth,Frequency_for_70_to_80_age_mouth,87_output_weights,output_70_to_80_age_mouth_compScore,Node_for_70_to_80_age_forehead,Act_for_70_to_80_age_forehead,Frequency_for_70_to_80_age_forehead,35_output_weights_x,output_70_to_80_age_forehead_compScore,Node_for_70_to_80_age_nose,Act_for_70_to_80_age_nose,Frequency_for_70_to_80_age_nose,35_output_weights_y,output_70_to_80_age_nose_compScore
8,6.779886727531751,1.0,0.1651852,1.0,6.0,1.6924002697834601,0.5368421052631579,0.37618577,1.0,6.0,2.4129012094603643,0.17894736842105263,0.37618577,1.0,6.0,5.734144881367683,1.0,0.37618577,1.0
6,2.540435314178467,0.23157894736842105,0.37618577,0.974998793552058,8.0,1.9713756293058395,0.07368421052631578,0.1651852,0.7882723117237267,8.0,4.169365177551906,1.0,0.1651852,0.9546706918794422,1.0,7.162079803645611,1.0,0.21189669,0.8253041697945714
1,1.8072836101055145,0.031578947368421054,0.21189669,0.8878288800383821,7.0,4.2124917431881554,0.9894736842105263,-0.12699442,0.20240340845904542,1.0,2.3647608757019043,0.010526315789473684,0.21189669,0.915830695019184,8.0,4.359775679085844,0.968421052631579,0.1651852,0.6074541928373544
2,1.2038747072219849,0.010526315789473684,-0.32893398,0.769269280052425,4.0,1.7075293064117432,0.010526315789473684,-0.44174987,0.05308606372984616,7.0,7.7531448900699615,1.0,-0.12699442,0.6082919461521339,7.0,6.542072783018414,0.9894736842105263,-0.12699442,0.18375353539684633
7,4.989835561589992,0.9789473684210527,-0.12699442,0.7330925603068279,3.0,1.8565675417582195,0.17894736842105263,-0.44829017,0.0,3.0,3.7694446588817394,0.9894736842105263,-0.44829017,0.4623154604525777,3.0,2.1343752816319466,0.49473684210526314,-0.44829017,0.149328997456289
4,3.2207832083557593,0.3368421052631579,-0.44174987,0.6129886122923884,,,,,,4.0,8.881062150001526,1.0,-0.44174987,0.0,4.0,3.4033866696887545,0.9368421052631579,-0.44174987,0.0
3,12.157748639583588,1.0,-0.44829017,0.0,,,,,,,,,,,,,,,
