Node_for_10_to_20_age_eyes,Act_for_10_to_20_age_eyes,Frequency_for_10_to_20_age_eyes,24_output_weights,output_10_to_20_age_eyes_compScore,Node_for_10_to_20_age_mouth,Act_for_10_to_20_age_mouth,Frequency_for_10_to_20_age_mouth,86_output_weights,output_10_to_20_age_mouth_compScore,Node_for_10_to_20_age_forehead,Act_for_10_to_20_age_forehead,Frequency_for_10_to_20_age_forehead,30_output_weights,output_10_to_20_age_forehead_compScore,Node_for_10_to_20_age_nose,Act_for_10_to_20_age_nose,Frequency_for_10_to_20_age_nose,31_output_weights,output_10_to_20_age_nose_compScore
8,10.312648375829061,1.0,0.1651852,1.0,6.0,1.7710174787612187,0.6938775510204082,0.37618577,1.0,6,2.6522938712437947,0.4966442953020134,0.37618577,1.0,6,6.254339858690898,1.0,0.37618577,1.0
6,2.8972508498600553,0.697986577181208,0.37618577,0.9262908461881312,8.0,1.6678497791290283,0.14285714285714285,0.1651852,0.7460450942174622,8,5.393603229522705,1.0,0.1651852,0.9804346880759748,1,7.916805739402771,1.0,0.21189669,0.8624345696527033
1,2.1537601413397955,0.18791946308724833,0.21189669,0.8501866490460571,7.0,4.544869567553202,1.0,-0.12699442,0.19184410893777346,1,1.9606775045394897,0.06040268456375839,0.21189669,0.8933379255713559,8,6.9396720822652185,1.0,0.1651852,0.7542127339409828
7,8.105947731335958,1.0,-0.12699442,0.6717034266357367,4.0,1.5217887163162231,0.0,-0.44174987,0.13004849704297475,7,8.665970659255981,1.0,-0.12699442,0.6156453761803343,7,8.753927838007609,1.0,-0.12699442,0.29419406194489983
4,6.051384344100952,0.8322147651006712,-0.44174987,0.4742396991725233,3.0,1.9459242708981037,0.19727891156462585,-0.44829017,0.0,3,4.394295119444529,1.0,-0.44829017,0.45639445902622444,3,3.060151541879935,0.8590604026845637,-0.44829017,0.24119773460648214
3,14.769473501841228,1.0,-0.44829017,0.0,,,,,,4,10.099578234354654,1.0,-0.44174987,0.0,4,5.785560006263272,0.9932885906040269,-0.44174987,0.0
