Node_for_90_to_100_age_eyes,Act_for_90_to_100_age_eyes,Frequency_for_90_to_100_age_eyes,42_output_weights,output_90_to_100_age_eyes_compScore,Node_for_90_to_100_age_mouth,Act_for_90_to_100_age_mouth,Frequency_for_90_to_100_age_mouth,58_output_weights,output_90_to_100_age_mouth_compScore,Node_for_90_to_100_age_forehead,Act_for_90_to_100_age_forehead,Frequency_for_90_to_100_age_forehead,36_output_weights,output_90_to_100_age_forehead_compScore,Node_for_90_to_100_age_nose,Act_for_90_to_100_age_nose,Frequency_for_90_to_100_age_nose,35_output_weights,output_90_to_100_age_nose_compScore
8,6.066957121310026,1.0,0.1651852,1.0,6.0,1.9792810082435608,0.5909090909090909,0.37618577,1.0,6.0,2.792503297328949,0.045454545454545456,0.37618577,1.0,6,5.329985214316326,1.0,0.37618577,1.0
6,2.640249490737915,0.18181818181818182,0.37618577,0.9985336361781101,8.0,1.239748477935791,0.045454545454545456,0.1651852,0.5809466756491665,8.0,3.607718814503063,0.9545454545454546,0.1651852,0.8980772195370416,1,7.293389921602995,1.0,0.21189669,0.8737898912911611
1,1.3895272016525269,0.0,0.21189669,0.88400917944977,7.0,3.3308985914502824,0.9090909090909091,-0.12699442,0.09357311307019617,7.0,7.563608169555664,1.0,-0.12699442,0.5490778470597381,8,3.845754543940226,0.9090909090909091,0.1651852,0.6238562505997166
7,4.431083224036477,0.9545454545454546,-0.12699442,0.743529283863511,3.0,1.2124703725179036,0.09090909090909091,-0.44829017,0.0,3.0,4.151831709820291,1.0,-0.44829017,0.347121862302452,5,1.081351399421692,0.0,0.36600673,0.558095804999405
2,1.8708646297454834,0.0,-0.32893398,0.7348975021968793,,,,,,4.0,7.717783264491869,1.0,-0.44174987,0.0,7,5.756765096083932,1.0,-0.12699442,0.2486637272968579
4,2.906072656313578,0.22727272727272727,-0.44174987,0.6253588783089746,,,,,,,,,,,3,2.117559162053195,0.45454545454545453,-0.44829017,0.18874558856907528
3,11.375395069951596,1.0,-0.44829017,0.0,,,,,,,,,,,4,3.7048926580519903,0.9090909090909091,-0.44174987,0.0
