Node_for_50_to_60_age_eyes,Act_for_50_to_60_age_eyes,Frequency_for_50_to_60_age_eyes,32_output_weights,output_50_to_60_age_eyes_compScore,Node_for_50_to_60_age_mouth,Act_for_50_to_60_age_mouth,Frequency_for_50_to_60_age_mouth,74_output_weights,output_50_to_60_age_mouth_compScore,Node_for_50_to_60_age_forehead,Act_for_50_to_60_age_forehead,Frequency_for_50_to_60_age_forehead,33_output_weights_x,output_50_to_60_age_forehead_compScore,Node_for_50_to_60_age_nose,Act_for_50_to_60_age_nose,Frequency_for_50_to_60_age_nose,33_output_weights_y,output_50_to_60_age_nose_compScore
8,7.551665493647257,1.0,0.1651852,1.0,6.0,1.7268432148041264,0.6174496644295302,0.37618577,1.0,6,2.444817861514305,0.4429530201342282,0.37618577,1.0,6,5.607720135052999,1.0,0.37618577,1.0
6,2.2047589236292344,0.3825503355704698,0.37618577,0.9404563555342443,8.0,1.9022711327201443,0.12080536912751678,0.1651852,0.775598408192962,8,4.883832893371582,1.0,0.1651852,0.9783017808020038,1,6.9383742992083235,1.0,0.21189669,0.8364934035886584
1,1.7192678110940116,0.087248322147651,0.21189669,0.8742084127366424,7.0,4.611070618629456,1.0,-0.12699442,0.17355270765413802,1,1.5213094353675842,0.006711409395973154,0.21189669,0.8852662770797651,8,5.116259283667443,0.9932885906040269,0.1651852,0.6766280849309808
2,1.0378237962722778,0.0,-0.32893398,0.7736905629512847,4.0,1.402555525302887,0.020134228187919462,-0.44174987,0.1508049031415515,2,1.0402847528457642,0.0,-0.32893398,0.7576252330023764,5,1.0082367658615112,0.0,0.36600673,0.5548640008111624
7,5.748243228594462,1.0,-0.12699442,0.7183354035166973,3.0,1.8848710586042965,0.2214765100671141,-0.44829017,0.0,7,8.201935237248739,1.0,-0.12699442,0.6232866967746642,7,7.16290397087733,1.0,-0.12699442,0.22784611779194425
4,3.3778513588688592,0.5838926174496645,-0.44174987,0.6097713824821136,,,,,,3,4.384161605130906,0.9932885906040269,-0.44829017,0.4458544314861141,3,2.6984417563990544,0.6308724832214765,-0.44829017,0.15111236949542348
3,12.877926438649496,1.0,-0.44829017,0.0,,,,,,4,9.703808104197185,1.0,-0.44174987,0.0,4,4.075945296780817,0.9664429530201343,-0.44174987,0.0
