Node_for_80_to_90_age_eyes,Act_for_80_to_90_age_eyes,Frequency_for_80_to_90_age_eyes,39_output_weights,output_80_to_90_age_eyes_compScore,Node_for_80_to_90_age_mouth,Act_for_80_to_90_age_mouth,Frequency_for_80_to_90_age_mouth,95_output_weights,output_80_to_90_age_mouth_compScore,Node_for_80_to_90_age_forehead,Act_for_80_to_90_age_forehead,Frequency_for_80_to_90_age_forehead,37_output_weights,output_80_to_90_age_forehead_compScore,Node_for_80_to_90_age_nose,Act_for_80_to_90_age_nose,Frequency_for_80_to_90_age_nose,36_output_weights,output_80_to_90_age_nose_compScore
8.0,6.553347580432892,1.0,0.1651852,1.0,6.0,1.7597332265641954,0.4444444444444444,0.37618577,1.0,6.0,2.406441577275594,0.1414141414141414,0.37618577,1.0,6,5.699793808460235,1.0,0.37618577,1.0
6.0,1.8867977476119995,0.24242424242424243,0.37618577,0.941452552687508,8.0,1.848032575387221,0.12121212121212122,0.1651852,0.7523591213622521,8.0,3.7469683849811553,1.0,0.1651852,0.9367451548982361,1,7.08257976770401,1.0,0.21189669,0.8211751394209202
1.0,1.6973309755325316,0.04040404040404041,0.21189669,0.8864553594815734,7.0,3.89421790273566,0.9494949494949495,-0.12699442,0.19711519358049925,1.0,1.6418828964233398,0.020202020202020204,0.21189669,0.8768684301765214,8,3.8803588139514127,0.9595959595959596,0.1651852,0.5822076500789881
7.0,4.92468278533534,0.9494949494949495,-0.12699442,0.7317235976163113,4.0,1.667426586151123,0.0,-0.44174987,0.029085502368037076,7.0,7.6847203350067135,1.0,-0.12699442,0.5844094614008,5,1.2467536528905232,0.020202020202020204,0.36600673,0.5308848971258159
4.0,3.0308037069108753,0.35353535353535354,-0.44174987,0.6196566336278783,3.0,1.7365587949752808,0.1717171717171717,-0.44829017,0.0,3.0,3.711474575996399,1.0,-0.44829017,0.43243874611416633,7,6.032911551119101,0.98989898989899,-0.12699442,0.19111913068767408
3.0,11.786486625671387,1.0,-0.44829017,0.0,,,,,,4.0,8.197551414966583,1.0,-0.44174987,0.0,3,2.343175076856846,0.40404040404040403,-0.44829017,0.11210890718870895
,,,,,,,,,,,,,,,4,3.2909723462828673,0.8282828282828283,-0.44174987,0.0
