Node_for_0_to_10_age_eyes,Act_for_0_to_10_age_eyes,Frequency_for_0_to_10_age_eyes,16_output_weights,output_0_to_10_age_eyes_compScore,Node_for_0_to_10_age_mouth,Act_for_0_to_10_age_mouth,Frequency_for_0_to_10_age_mouth,97_output_weights,output_0_to_10_age_mouth_compScore,Node_for_0_to_10_age_forehead,Act_for_0_to_10_age_forehead,Frequency_for_0_to_10_age_forehead,31_output_weights,output_0_to_10_age_forehead_compScore,Node_for_0_to_10_age_nose,Act_for_0_to_10_age_nose,Frequency_for_0_to_10_age_nose,28_output_weights,output_0_to_10_age_nose_compScore
8.0,13.55841733932495,1.0,0.1651852,1.0,6.0,1.6409946183363597,0.47651006711409394,0.37618577,1.0,6.0,2.466226719193539,0.38926174496644295,0.37618577,1.0,6,6.2874857568740845,1.0,0.37618577,1.0
6.0,3.192815447807312,0.8322147651006712,0.37618577,0.8953198029118922,8.0,1.3291159719228745,0.04697986577181208,0.1651852,0.72775974937536,8.0,5.274456221262614,1.0,0.1651852,0.9890736567589533,1,8.941668763160706,1.0,0.21189669,0.9117361749765968
1.0,2.321248363046085,0.2214765100671141,0.21189669,0.8238341461015469,4.0,1.0609716574350994,0.013422818791946308,-0.44174987,0.25671922510347456,1.0,1.6126537024974823,0.020134228187919462,0.21189669,0.8866616197387788,8,7.548796364466349,1.0,0.1651852,0.7902326081054085
7.0,10.237678140004476,1.0,-0.12699442,0.6432124203669654,7.0,4.106820203463236,1.0,-0.12699442,0.22054142541760433,7.0,8.709839299519857,1.0,-0.12699442,0.6066597869228875,5,1.2229623794555664,0.006711409395973154,0.36600673,0.6402971270403433
4.0,8.476145136846254,0.9731543624161074,-0.44174987,0.39685146442340447,3.0,1.8822071301309686,0.12080536912751678,-0.44829017,0.0,3.0,4.245551559130351,1.0,-0.44829017,0.45249657667801074,7,9.551399014790853,1.0,-0.12699442,0.3288128667531391
3.0,17.135324662526447,1.0,-0.44829017,0.0,,,,,,4.0,9.60494149208069,1.0,-0.44174987,0.0,3,3.321406871908241,0.959731543624161,-0.44829017,0.2770460320962777
,,,,,,,,,,,,,,,4,6.714079152743022,1.0,-0.44174987,0.0
